"File","LinkText","LinkTarget"
"docs\authentication\credentials\token-decryption.md","Security Best Practices","../../advanced/security-best-practices.md"
"docs\authentication\credentials\token-decryption.md","Back to Credentials Overview","./README.md"
"docs\authentication\credentials\token-decryption.md","Certificates Guide","./certificates.md"
"docs\authentication\credentials\token-decryption.md","Calling Downstream APIs","../../calling-downstream-apis/README.md"
"docs\authentication\credentials\token-decryption.md","troubleshooting guides","../../scenarios/web-apps/troubleshooting.md"
"docs\authentication\token-cache\README.md","Overview","#overview"
"docs\authentication\token-cache\README.md","Quick Start","#quick-start"
"docs\authentication\token-cache\README.md","Choosing a Cache Strategy","#choosing-a-cache-strategy"
"docs\authentication\token-cache\README.md","Cache Implementations","#cache-implementations"
"docs\authentication\token-cache\README.md","Advanced Configuration","#advanced-configuration"
"docs\authentication\token-cache\README.md","Next Steps","#next-steps"
"docs\authentication\token-cache\README.md","Web apps calling APIs","../../calling-downstream-apis/from-web-apps.md"
"docs\authentication\token-cache\README.md","Web APIs calling downstream APIs","../../calling-downstream-apis/from-web-apis.md"
"docs\authentication\token-cache\README.md","→ Learn more about in-memory cache configuration","in-memory.md"
"docs\authentication\token-cache\README.md","→ Learn more about distributed cache configuration","distributed.md"
"docs\authentication\token-cache\README.md","→ Learn more about L1/L2 cache architecture","l1-l2-cache.md"
"docs\authentication\token-cache\README.md","→ Learn more about cache eviction strategies","eviction.md"
"docs\authentication\token-cache\README.md","→ Learn more about encryption and data protection","encryption.md"
"docs\authentication\token-cache\README.md","Distributed Cache Deep Dive","distributed.md"
"docs\authentication\token-cache\README.md","Cache Eviction Strategies","eviction.md"
"docs\authentication\token-cache\README.md","Troubleshooting Guide","troubleshooting.md"
"docs\authentication\token-cache\README.md","Encryption Guide","encryption.md"
"docs\authentication\token-cache\README.md","Calling Downstream APIs from Web Apps","../../calling-downstream-apis/from-web-apps.md"
"docs\authentication\token-cache\README.md","Calling Downstream APIs from Web APIs","../../calling-downstream-apis/from-web-apis.md"
"docs\authentication\token-cache\README.md","Web App Quickstart","../../getting-started/quickstart-webapp.md"
"docs\authentication\token-cache\README.md","Configuring Redis for Production","distributed.md#redis-production-setup"
"docs\authentication\token-cache\README.md","Handling L2 Cache Failures","troubleshooting.md#l2-cache-failures"
"docs\authentication\token-cache\README.md","Optimizing Cache Performance","distributed.md#performance-optimization"
"docs\authentication\token-cache\README.md","Multi-Region Cache Deployment","distributed.md#multi-region"
"docs\authentication\token-cache\troubleshooting.md","L2 Cache Not Being Written","#l2-cache-not-being-written"
"docs\authentication\token-cache\troubleshooting.md","Deserialization Errors with Encryption","#deserialization-errors-with-encryption"
"docs\authentication\token-cache\troubleshooting.md","Memory Cache Growing Too Large","#memory-cache-growing-too-large"
"docs\authentication\token-cache\troubleshooting.md","Frequent MFA Prompts","#frequent-mfa-prompts"
"docs\authentication\token-cache\troubleshooting.md","Cache Connection Failures","#cache-connection-failures"
"docs\authentication\token-cache\troubleshooting.md","Token Cache Empty After Restart","#token-cache-empty-after-restart"
"docs\authentication\token-cache\troubleshooting.md","Session Cache Cookie Too Large","#session-cache-cookie-too-large"
"docs\authentication\token-cache\troubleshooting.md","Token Cache Overview","README.md"
"docs\authentication\token-cache\troubleshooting.md","Token Cache Overview","README.md"
"docs\authentication\token-cache\troubleshooting.md","Distributed Cache Configuration","distributed.md"
"docs\authentication\token-cache\troubleshooting.md","Cache Eviction Strategies","eviction.md"
"docs\authentication\authorization.md","Overview","#overview"
"docs\authentication\authorization.md","Authorization Concepts","#authorization-concepts"
"docs\authentication\authorization.md","Scope Validation with RequiredScope","#scope-validation-with-requiredscope"
"docs\authentication\authorization.md","App Permissions with RequiredScopeOrAppPermission","#app-permissions-with-requiredscopeorapppermission"
"docs\authentication\authorization.md","Authorization Policies","#authorization-policies"
"docs\authentication\authorization.md","Tenant Filtering","#tenant-filtering"
"docs\authentication\authorization.md","Best Practices","#best-practices"
"docs\authentication\authorization.md","Customization Guide","../advanced/customization.md"
"docs\authentication\authorization.md","Logging & Diagnostics","../advanced/logging.md"
"docs\authentication\authorization.md","Quickstart: Web API","../getting-started/quickstart-webapi.md"
"docs\authentication\authorization.md","Token Cache","token-cache/README.md"
